Answer,Sentiment,Probability
"Yesterday I had to go to the dentist and was worried about my oral health. You see, 3 months ago, when I went for my teeth cleaning, the checkup was not so good so I was worried it might be even worse, so I was anxious heading into the appoointment.",NEGATIVE,0.999806821346283
Yesterday despite feeling sluggish,NEGATIVE,0.9411203861236572
"Working for slave wages and getting screwed and exploied every day, seven days a week, is driving me nuts.  I hate it.  Why can there be any decent requestors who pay a living wage?",NEGATIVE,0.9999151229858398
Work made me feel like I had a purpose but also frustrated and annoyed because there are so many things going on at once.,NEGATIVE,0.9812365770339966
Work is rather salient because I spend the majority of my day there. Nothing particularly exciting or interesting really happened there but it was fairly busy as it usually is. Given that we're federal employees who are excepted from the furlough but not being paid to work we spent a lot of our day talking about the shut down and what if anything Trump is doing to attempt to alleviate it.,NEGATIVE,0.9914422631263733
"What was most salient about my day yesterday, was spending quality time with my children. Together, we raked the leaves outside in the yard and shared laughter and joy.",POSITIVE,0.9997695088386536
Went grocery shopping with my mom. Got a flu shot while I was there.,NEGATIVE,0.7014320492744446
we had such a good time it was nice and felt very nice he was very loving,POSITIVE,0.9455546140670776
"we had a pretty big extracation that i performed well on.  i carried out my duties pretty well, and was self directed at all of it. I felt proud of myself for functioning like I've been there and done that before.",POSITIVE,0.9975647926330566
was able to meet up with my girlfriend after a week of not seeing her. I was very excited.,POSITIVE,0.9935300946235657
"Upon picking up my only child from school, she gave me the amazing news, she was chosen to be in Honors quiet. Dad and I are so happy and proud of her. We dont know how we are going to squeeze in Choir rehearsals with her ballet rehearsals but we will figure it out. Dad and i are taking sunday off, so we can go and celebrate her invitation. We are so busy with life, that we need to start to take and make time for each other. i find it curious that this survey came up, when my first thought this morning was, how bless i am to have my family, how quickly time is passing, and how to make time for each other.",POSITIVE,0.9971712231636047
"Trying to help my mother-in-law find a home, but it's kind of awkward because I feep like she wants to live with us.",NEGATIVE,0.9991726279258728
today was just a normal day. I worked all day and nothing really happened. During slack times I worked on Mturk. It felt like another day,NEGATIVE,0.9999575614929199
Today I was very sick. It seems everybody I know has a cold and I thought I was above it but no. I had some orange juice and went back to bed. Not a good day.,NEGATIVE,0.9999898672103882
Today I was able to make $18 on mturk. New record for a day. It took from 6AM till about 8PM. Once I got to $15 I kept going to see how much I could make but the hits dried up.,NEGATIVE,0.9987898468971252
Today I feel sad at work. I feel anxious because I have too much to do. I feel so overwhelmed,NEGATIVE,0.5819172263145447
This would be kayaking with my dog.  There is nothing more peaceful than taking the boat out on the water with my best pal and just enjoying the peace and tranquility of the water and the breeze.  It make a horrible day at work just melt away.,POSITIVE,0.9970486760139465
"There was an incident with my spouse where he was trying to restrain our dog that recently had surgery when we were going to feed him. Unfortunately, the dog reared his head back and hit my spouse in the mouth and knocked out his dental crown. This situation surprised me and made me anxious/frustrated because my spouse was really upset and now we'd have additional expenses to fix his dental work.",NEGATIVE,0.6014678478240967
The work yesterday was different than most of days. I had some issues and the deadline was approaching. I almost missed it. Luckily I have the best co-workers that helped me out before I have asked for any help.,NEGATIVE,0.9472061395645142
The night before last i.e. yesterday morning I slept for over 10 hours straight which is not normally a thing I ever do like ever. Unfortunately I felt like absolute crap as the result of having caught something most likely the flu so I did not feel great at all in fact I felt like total crap. Cough crap in my throat crap in my lungs the whole bit. I was a bit worried I was going to wake up feeling way sicker but that didn't stop the fact that I absolutely needed to crash at like 8 PM. So I did. Woke up feeling sooo much more refreshed. Still sick but not nearly as bad. 10 hours of sleep was what I needed I guess. Still sick though.,NEGATIVE,0.9999579191207886
"The most salient thing from yesterday was how we are a family (wife and 3 kids) but as of recent we have been very distant from each other so the household is cold and callous. Just last month our house was loud and boisterous, now its silent and uncomfortable.",NEGATIVE,0.9997841715812683
"The most salient thing about my day yesterday was recreation, or maybe I should say, the lack thereof. I was so distracted and bored yesterday, I couldn't find anything to keep myself occupied with all day long. I was antsy most of the day and it was entirely frustrating. I tried to talk to a few friends about it, maybe make some plans to do something, but they were all otherwise engaged for the day, which made it even more frustrating. I really need to calm my mind so I can focus on something, get immersed in it. That'll help the anxiety and the boredom.",NEGATIVE,0.9999858140945435
the food I made was good and made me happy and enjoy my day,POSITIVE,0.9706294536590576
Sleep is an important part of my day because it is important to my health well being and my daily funtioning. I was very tired yesterday and I fell asleep earlier than I had planned. I was planning to wake up to watch something but I fell back asleep. I was awoken again a little while later with serious pain in my one eye. At times my eyes can be sensitive when I have a cold settle in one or both of them. Two more times I was woken up by the eye pain. It was bad and I was super tired. So I got to go back to sleep for a little while longer.,NEGATIVE,0.999446451663971
my work is important and noticeable but extremely boring.   I would like a different job but it does pay the bills and gives me less headaches than other jobs.,NEGATIVE,0.9965699911117554
My son's girlfriend stayed home from work today. She was acting odd all day. I could tell something was wrong but did not know what.  My husband came home from work later and he was focused on his friends at work. He didn't want to talk about the kids or anything.  I felt alone and sad.  Basically I felt invisible.,NEGATIVE,0.9985929131507874
My son was sent home from school yesterday throwing up. It made me anxious and worried because he's nonverbal and can't tell me what's going on.,NEGATIVE,0.9328063130378723
My son received early admission to the college of his choice today! In addition he received a scholarship!,POSITIVE,0.9956052899360657
My sister's 29th birthday also 8 yeas sober for her.,NEGATIVE,0.9980517625808716
My oldest daughter told me she was moving closer to where i live. It made me happy to know I'd get to see her more often now.,POSITIVE,0.9927231669425964
My mom and I officially decided to run a marathon together late spring this year. We both registered for the race booked travel an officially committed. It makes me excited to continue training because this is something I can do with my mom.,POSITIVE,0.9988952875137329
My husband and I continued playing through Horizon Zero Dawn together. The game is turning out to be really great. It's long so it's a little annoying when he's ready to play and I'm not yet but overall it's a really fun activity that we're doing and appreciating together. It gives me many warm fuzzy feelings that I can share an appreciation for art and story with him like that.,POSITIVE,0.9994029998779297
"My furnace doesn't work. It might cost around $1,500 to replace it, because it is old. I am working my behind off on Amazon Mechanical Turk and eBay to earn the money.",NEGATIVE,0.9999409914016724
My family was the most salient thing about my day. My baby boy turned 9 months old today. It made me fee so proud and nostaglic and introspective. I reflect back and feel happiness that I created a beautiful child that is my own family.,POSITIVE,0.9935053586959839
My family is crazy I have a aunt that never stops I told her yesterday that am done dealing with this am done frighting with everyone over this I cant' make other people do what she wants or what is right and then my sister one is the cause of all our problems the other just cares about herself and friends but then she gose crazy if anyone say anything about the problems thst my other sister caused,NEGATIVE,0.9971721768379211
"My family are the most important part of my life. Yesterday, I got to really spend time and connect with my girls and husband. I am very grateful for all of the time that I get with them.",POSITIVE,0.9927587509155273
My day yesterday was pretty average and to me average is good. I prefer things to be uneventful and nothing bad happened to me so I can't really say that it was a bad day! I feel good about the work that I did and I was satisfied with myself.,POSITIVE,0.9931111335754395
"My dad was rushed to the hospital so health and fear were the most salient things.  Luckily it was ""just"" a bleeding ulcer",NEGATIVE,0.9993181228637695
My brother came from Arizona to help me in recovering a bit more from surgery last week.,POSITIVE,0.9910516738891602
My boyfriend and I are falling into a nice routine of living together. It feels nice to reach that space of comfort and love and affection. I think we're really great together.,POSITIVE,0.9995710253715515
My blood analyses resulted very good for my age.,POSITIVE,0.9933286905288696
My adult daughter called me with a personal problem yesterday and ask for (and hoped for) my help. It was a bit difficult but I was able to help her and she was very grateful. I'm proud that I adult children respect me and know they can come to me for anything and it makes me very happy to help them.,POSITIVE,0.971115231513977
it was really good.  i got such a buzz off from the endorphines!,POSITIVE,0.9990253448486328
"It was just one of those days that didn't seem to really be active. The kids were at school, but came home all hyped up. Didn't want to settle to do school work, wanted to fight with one another. They hated dinner.But that night we were able to refocus on what needed to be done which is attend church.",NEGATIVE,0.999988317489624
"It was just another day at work, where I didn't know if I would make good money or not so good money.",NEGATIVE,0.999945878982544
It was a frustrating day yesterday. My brother and I were unable to complete the repairs to my car and are going to have to work on it again this weekend. I also didn't make much money at my online job and didn't have time to put in a lot of work there.,NEGATIVE,0.999632716178894
"It was a day like any other, I went to work very early, I left very tired, but in the afternoon I felt a little nostalgic for my family, my parents and brothers live far away, lately we have not had the best of relationships and that puts me Nostalgic and sad.",POSITIVE,0.9932263493537903
"In an effort to continue to try new things as it relates to freelance work I did a gig yesterday for a show being setup in Tampa. I found that the lady that hired me treats workers as slaves, talks down to us, and doesn't appear to believe any of use had brains. I'm not certain if this was based on previous experiences or her personality, but it made for a long ten hour day and many frustrations. I never walk out on jobs, because I believe I can learn something new from every experience and try to do this with each undertaking. Tomorrow is a fresh day with new horizons to conquer, so let's see what it brings.",NEGATIVE,0.9998612403869629
"Im in alot of pain, so I sleep alot more than usual yesterday.t was nice, until I woke up. Then I was hurting again.",NEGATIVE,0.9986535310745239
"So yesterday, I spent most of my working time testing and debugging the new code I wrote to automatically log a user back in when they time out, AND run whatever command they were trying to run when the program realized they'd timed out. The login part works great! And the running the command part works too - as long as there's only ONE command. If a single action, like a click, triggers TWO commands - like for instance, if clicking anywhere in a widget selects it, and clicking a button within it also contacts the DB - then only the first one runs and I CAN'T FIGURE OUT WHY. I can't debug it because every time I pause the code to step through it, the behavior changes! I suppose that in itself helps me narrow it down some - it must be a timing issue in some way - but I'm really stumped. I'll work on it some more today, I guess. I hate bugs I can't trace well, I feel like I don't have a good handle on how to find them. I mostly just stare at the code until inspiration strikes.",NEGATIVE,0.9989030361175537
I'm tired of having bad food. It's like there is nothing in the kitchen. Oatmeal was ok but to follow it up with tuna and mayo for lunch made me feel ill. Then sloppy joes for dinner? Too strange of a combination for me. Makes me angry.,NEGATIVE,0.9998681545257568
I'm pregnant and need food. I was starving.,NEGATIVE,0.9964520931243896
"I'm just returning from a trip to a beautiful, warm place and I have to spend the day in this gray, dull office looking at a computer screen and reading reports. So boring...",NEGATIVE,0.9999929666519165
I worked out which is really important to me. I have been working on my health lately.,POSITIVE,0.9994658827781677
I worked hard yesterday.  I had a lot of things to take care of.  It felt good to get it all done.,POSITIVE,0.9982262253761292
"I worked from home yesterday and there was not much to do, so I spent a lot of time playing with our little 16-month old girl, Eleanor, while my wife was at work. We read books and watched a lot of Paw Patrol. It was plenty of fun!",POSITIVE,0.999516487121582
I worked all day so it was the biggest part of my day. This caused me a high deal of stress because I had a lot of work. Frustration also grew because what happened was we had a deadline to meet and it seemed impossible at the time.,NEGATIVE,0.9983305335044861
I worked 9 hours yesterday which was good because I got overtime pay. It was a fairly routine day but with a lot of variety so it went by quickly!,POSITIVE,0.9786659479141235
I work out. I did legs and it made me feel good!,POSITIVE,0.9966172575950623
"I work in a dog daycare and for 10 hours I'm in a loud smelly room with dogs fighting and defecating and trying to jump on me. Yesterday it was raining so we didn't get to even go outside for a run. I was exhausted and one of the dogs peed on my shoe, and it's the only pair I have so i knew it would mean I'd have wet shoes the next day. I was so exhausted and overwhelmed when I got off I cried in my car.",NEGATIVE,0.9983685612678528
I work a long hard day and really enjoy my nights rest.,POSITIVE,0.9947949051856995
I went to my MRI to find out about the spot on my pancreas.  I did not like it because I felt trapped in the machine.  When I got home I had a vertigo attack that I think was caused by being in the MRI for so long.,NEGATIVE,0.99996018409729
"I went to a jazz club today for the first time in a long time. A friend of a friend was performing. It was cool. Good music, good drinks. It was nice to get out.",POSITIVE,0.9987995624542236
"I went to a doctors appointment and was feeling anxious about how my general health was. After my checkup and finding out that I was in good health, I felt happy and relieved about the results.",POSITIVE,0.9968540072441101
I went to a cardiologist yesterday and was given a heart monitor.  I was diagnosed with SVT.,NEGATIVE,0.9923858642578125
I went out with my friend for pho around lunchtime. It felt great to hang out with a friend as I hadn't been able to see any friends for a while. We chatted and at for a little over an hour and it felt very cathartic to be able to hang out with them.,POSITIVE,0.9994971752166748
"I went hiking yesterday with Doug. It was a gorgeous fall day, we went to Turkey Creek and ended the hike by sitting next to the waterfall. I pushed myself beyond my comfort zone by taking the longer trail even though I had not planned to do that and was wiped out by the end of the hike. It made me so hungry and tired. I went to sleep very early.",NEGATIVE,0.9953225255012512
I went for a walk. It was peaceful.,POSITIVE,0.9034062027931213
i went for a swim at the Y to try to cotinue work on a shoulder issue i have.  it was painful while doing it but i pushed through and the movement is definitely coming back.,NEGATIVE,0.9975076913833618
"I went for a run last night, it was kind of scary because it's now dark when I get home from work. I did 2 and a quarter miles though.",NEGATIVE,0.92006915807724
I watched TV with my daughter last night. We don't get many chances to watch something just the two of us. It was only a half hour but it was nice.,POSITIVE,0.9969671368598938
I was watching tv in my room alone but i didnt get to watch enough. I felt anxious and annoyed that i couldnt really relax.,NEGATIVE,0.9995811581611633
"I was having a lot of stomach issues. I had no idea why. Maybe I was just anxious. I was thinking about an old friend for a long, long time.",NEGATIVE,0.9959380626678467
"I was hapy with the flow of work I had to do, it was a productive day. Those types of days make me happy and feel secure to me.",POSITIVE,0.9982621073722839
I was happy to spend time with my daughter. She was a big help as we went through boxes to unpack. She helped a lot with that. I am thankful  for  her sweet attitude.,POSITIVE,0.9866549968719482
"I was happy that my daughter told me she loved me.  Her sitting on my lap is a joy beyond all that I can ever imagine.  Despite ups and downs of the day, I am thrilled that we have a relationship and I will love her forever.  She and my family are a joy above my imagination.",POSITIVE,0.9948909282684326
"I was extremely anxious while waiting at the doctor's office to find out my test results, and whether or not I would need a transplant soon.",NEGATIVE,0.999649167060852
"I was downtown, and bumped into an old friend of mine at a bus station.  We do not always get along so great, and he was in a bad mood, so we ended up taking a long bus ride together in mostly awkward silence.",NEGATIVE,0.9817087650299072
I was attempting to read a book and couldn't oncentrate on it at all. I felt like I couldn't remember the last sentence I had read.,NEGATIVE,0.9999940395355225
I was amazed at my connection with people and friends yesterday. They all seemed to be so alive and happy this was a very good day for friendliness for all. I love when there are days that are like that many people tend to keep to themselves otherwise anymore. I tend to turn to my friends more than family these days so they are quite needed in my life just talking to people alone can brighten my day if they seem to be able to talk.,POSITIVE,0.9779966473579407
I was able to take a nice walk in the evening with my husband and two teen daughters.  It is very rare that we are all in the same place at the same time and are doing something together as a group.  It was a great feeling to walk talk and laugh together after a long day apart.,POSITIVE,0.9983989596366882
I was able to help patients improve their quality of life,POSITIVE,0.9919185042381287
"I was able to deliver a speech for our church yesterday. It made me feel like I did something really good in service of God, and others really appreciated it too. It was a religious/Biblical speech. I was happy to have done it.",POSITIVE,0.99843829870224
I wanted to try food at the Italian restaurant and I enjoyed the food and service at that Italian restaurant.,POSITIVE,0.9962320923805237
"I tried to accomplish something as part of a hobby, but failed after repeated attempts.",NEGATIVE,0.9995200634002686
I travelled to Florida to start a vacation with the wife. I'm glad that things are going smoothly so far.,POSITIVE,0.9925209283828735
I took the time to do yoga right away in the morning when I got up. This made me feel a sense of calm which is a nice thing to experience when you have two little  boys. I also had the chance to feel satisfied that I'm actually sticking to do something everyday.,POSITIVE,0.9995879530906677
"I took Abbie, my four year old daughter, to the library. We made a day out of it. I drove downtown and then we went in several shops and window shopped others. We had a great time capping it off with returning our books to the library and picking out new books. It is so great to see Abbie show a love of reading and to see just how much effort she puts into finding the perfect books for her. I feel proud as she is so excited to go to the library but then is so patient, well behaved and serious when we are in the library.",POSITIVE,0.9968720078468323
"I spent time witb my famil last night.  My wife works a mix od days and nights, but had the day off yesterday.  I came home and my wife had dinner ready.  After diner, we helped the kids with homework, and played the boardgame ""Sorry"".  They went to bed, and we had some time alone toghether.",POSITIVE,0.9598594307899475
I spent the evening playing board games with my friends. One of my best friends in life was in town from Seattle. We had a really great time.,POSITIVE,0.9971764087677002
I spent almost all day and most of the evening working but I felt good about it because I was earning money to help myself get out of debt.,POSITIVE,0.9965707063674927
"I spent all day working, but made very little money. It was an extremely frustrating day. I would have quit early and done something more recreational, but I desperately needed whatever money I could manage to earn. I went to be feeling hopeless and frustrated.",NEGATIVE,0.9999641180038452
I spent a lot of time wit my husband and son yesterday. I took my son to the library and then on a donut date.,POSITIVE,0.9840569496154785
"I spent a large part of the day yesterday with my husband in the car taking my niece, who has no car, to run some of her errands.  I felt anxious near the end of the day because I felt like I was spending too much time doing something I was feeling resentful about.",NEGATIVE,0.9963635802268982
I spend my days with my husband and pets. It is nice. We get to share meals together and relax.,POSITIVE,0.9902623891830444
I saw my lover and we spent quality time together. I was truly enjoyed by everything that we shared.,POSITIVE,0.9938511848449707
"I really got a good night's sleep last night.  I was in bed early, and I didn't wake up through the night.  That doesn't happen very often!",NEGATIVE,0.735957145690918
I played video games from my childhood and it was very exciting.,POSITIVE,0.9951005578041077
I met with my mom and niece to have ice cream after school. She is 6 and was so excited. We talked about her day at school. It was fun!,POSITIVE,0.9974257349967957
"I made a pot roast, which cooked in the slow cooker all day.  It’s my favorite meal and the smell of it cooking, brought back a flood of great memories of growing up.  The smell of wonderful food cooking is very enticing to me and I waited all day, anticipating what a great supper it would be.",POSITIVE,0.9977532029151917
i made a huge breakfast,POSITIVE,0.9960980415344238
i like talking to my friends,POSITIVE,0.9736721515655518
"I learned from my doctor yesterday that I am vitamin D deficient and that I also have to take medication for cholesterol.  I thought I was doing good, but apparently not.",NEGATIVE,0.9998179078102112
I have some sort of inflammation in my larynx and my doctor doesn't know quite what it is but we are determined to treat it.  I just want to be able to drink coffee again!,POSITIVE,0.9997895359992981
I have had a sinus infection since late last week and it has made me feel lousy. Hard to work feeling like that.,NEGATIVE,0.9999897480010986
"I have been sleeping a lot lately. When I get home from work, I usually need to take a nap. It can last anywhere from an hour to three hours. It is really frustrating because I am getting enough sleep at night, so I feel I am wasting my time.",NEGATIVE,0.9998986721038818
I have a large project at work that has been very difficult. Yesterday I hit a large roadblock with it and I spent most of the day troubleshooting the issues. They're still not resolved and it's very frustrating. Because of this my work was the most salient thing about my day yesterday. I love my job but it can be very frustrating when problems happen that are difficult to fix. It distracting and I need some time to myself to think through the problems.,NEGATIVE,0.9998993873596191
"I have a home recording studio in my attic that I sometimes hire out as a side gig. I had a group of three friends that scheduled a session with me yesterday evening who did not show up and did not call to let me know they weren't going to make it. I treat it as a side business and act professionally and expect others who reserve my time to treat it seriously - I ended up staying in for the evening waiting on them. It was slightly more obnoxious than usual because they were not only ""clients"" but are friends and it was a pretty disrespectful thing to happen.",NEGATIVE,0.973764955997467
I have a degenerative disease Inclusion Body Myositis in my skeletal muscles and must exercise regularly to slow down the progression of the disease and this is very frustrating.,NEGATIVE,0.9999452829360962
"I have a big bill I need to pay in a few days, so after work I tried really hard to make money on mTurk to make up the difference.",NEGATIVE,0.9997063279151917
"I hadn't been able to work out in awhile due to an injury, and I just bought a new set of weights I was excited to try out. Yesterday was really nice in feeling that I could start exercising again.",POSITIVE,0.9988460540771484
I had what felt like a rather long and frustrating work day yesterday. It felt like everthing was just dragging at work.,NEGATIVE,0.9998192191123962
"I had to walk into a shitshow, where there was no support staff, multiple call-offs, and openers had walk-in assignments. I had to do twice as much as normal.",NEGATIVE,0.9991379976272583
"I had to take my roommate to the hospital. We weren't sure whether she had a problem with her appendix, or maybe a urinary tract infection or kidney stones. She has no insurance so we had to go to the emergency room. Fortunately, they saw her within 30 minutes because she was in pain. It turned out she had kidney stones. I went back home and waited for her to call me. When she called, we had to go to the hospital pharmacy to pick up four prescriptions, which I had to pay for. Fortunately, since she is poor, they only cost $4 apiece. She went straight to bed when she got home.",NEGATIVE,0.9994613528251648
I had to rest my leg all day because I have knee bursitis. So I couldn't really do much else but relax all day. It felt okay. Kinda boring though. Knee feeling better.,NEGATIVE,0.9736856818199158
I had to prepare a meal for 300 people. We had suppers at church that I am in charge of. It is a big job but it brings a sense of accomplishment.,POSITIVE,0.9989534616470337
I had sushi yesterday. It was good. It made me happy. It was tasty. It put me a in a good mood.,POSITIVE,0.9888916015625
I had spent most of my day yesterday working and the only salient thing I noticed I was really anxious. I wanted to get off and go home.,NEGATIVE,0.9912317395210266
"I had some stomach pains all day that worried me. I spent most of the day googling what was wrong with me and unsurprisingly was met with results ranging from it could be gas, to it could be kidney stones.",NEGATIVE,0.9972087740898132
"I had parent teacher conferences for two of my children. One was excellent and is doing really well and my oldest, is doing well academically but is struggling in the classroom and socially. He receives a lot of help at school and at home, but nothing seems to be working.",NEGATIVE,0.9987302422523499
I had one of my days doing crowd sourcing work. I have been doing this 5 months and have recently hit 10000 hits. So I have been very pleased with this work and yesterday paid off. I was very happy and elated. Such a good emotional boost!,POSITIVE,0.9943850040435791
"I had not seen my brother for almost 5 years although we talk on Facebook daily.  It just happened although he is only 2 hours away.  Planned visits had been cancelled.  I saw him a few times a month before our Mom passed.  Yesterday, we met for coffee as he was down here for work.  I was so excited and happy to see him.  I think we are back on track now!!",NEGATIVE,0.5442220568656921
"I had my wisdom tooth extracted yesterday. It was the first one I've had to experience, so I was incredibly anxious.",NEGATIVE,0.998953104019165
I had friends over which felt great but I also had some social anxiety about it.,NEGATIVE,0.9344897270202637
"I had been sick for about 10 days and had not responded to treatment. So, I had to return to the doctor and seek a new direction in treatment.",NEGATIVE,0.9998669624328613
I had an especially frustrating day at work yesterday and had to stay late to finish a project after the project file was corrupted and I lost a whole days work.,NEGATIVE,0.9998743534088135
I had a very good sleep last night not as usual,NEGATIVE,0.9738842844963074
"I had a really good workout yesterday. I start almost everyday with 90-120 minutes of excercise (I have missed 10 days this year) and yesterday was chest, shoulders, triceps and stair master. It was really hard and I made it through the entire thing. I was spent after and really liked the workout.",POSITIVE,0.9989941716194153
I had a nice dinner with my wife yesterday.  It was a good way to relax after a  hard day at work.  She always knows how to make me feel loved and appreciated.,POSITIVE,0.9961280226707458
"I had a lot of work to get done yesterday and was quite apprehensive about whether I would be successful in completing it all. To my surprise and even with some interruptions, I was able to focus for a long period of time and get all my jobs done. I felt very satisfied and content when I left the office.",POSITIVE,0.9973387122154236
I had a great day out with my friend Jennifer,POSITIVE,0.9953727126121521
I got to put christmas lights up with my wife and it was so fun!,POSITIVE,0.9956569671630859
"I got in a good workout at the gym. Despite my injured knee, I worked out for almost an hour. I felt relaxed and good afterward. It was a good day.",POSITIVE,0.9980873465538025
I found out yesterday I have a severe case of bronchitis. At first they thought it was pneumonia until the xray came back negative. I already deal with out of control asthma every day of my life. I'm confused how I got sick. I'm frustrated and upset/,NEGATIVE,0.9999052286148071
I felt very obligated,NEGATIVE,0.9908291101455688
I felt that we bonded a lot yesterday and this was during our lovemaking session.  Truly felt like we had that spiritual connection that you only see in movies,POSITIVE,0.9988095760345459
I felt happy. Yesterday was a pretty important day.,POSITIVE,0.996315062046051
I felt as if this were just a normal day but actually worse then normal. I had a lot of angry customers at work and I had less coworkers to help me.,NEGATIVE,0.9835212230682373
I felt a bit nervous because I hadn't worked out in a while and I didn't know if my body would be able to handle the stress I was about to put it through personally. That was my biggest fear.,NEGATIVE,0.989051878452301
"I feel that sometimes I can be at my best then I have days where I feel like I'm nothing, it's something that bothers me a lot",NEGATIVE,0.9444482326507568
I feel bad because I do have a very bossy and strict boss,NEGATIVE,0.9996696710586548
I exercised to help strengthen my hips so the go back into alignment. I felt like I was making progress. I felt cracking and popping in m neck while doing the exercises. This was reassuring.,POSITIVE,0.9986407160758972
"I eat a lot of good paste yesterday, I was very happy and excited.",POSITIVE,0.9962124824523926
I decided to stay indoors as it was cold and snowing yesterday.  I said a prayer and was thanking God for the warmth and shelter.,POSITIVE,0.9014372229576111
I cooked my own hamburger yesterday. It tasted good though it could have been better.,NEGATIVE,0.9746671319007874
"I came home from a hard day of work and not only did my husband put in wood, he also tended to the pets and made dinner. He did all of this before I got home. I was so appreciative and impressed that I actually called my best friend to talk about it.",POSITIVE,0.999332845211029
I ate to much junk food yesterday,NEGATIVE,0.9999402761459351
"I answered an email to my sister in law about Thanksgiving dinner. I told her I would not eat some of the foods being served because I don't eat a lot and I eat very healthy compared to her. She got angry that I had the nerve to say that and was very short and terse in her answer back. I was confused because I didn't say anything mean or nasty, just told her my feelings.",NEGATIVE,0.9963274598121643
I am trying to eat more healthy and getting limited success.,NEGATIVE,0.9994007349014282
"I am really struggling with my son. He has been diagnosed with autism and adhd but he is very high functioning and near genius level intelligence. Our problem is that he hates everyone in the house. He doesn't want to be part of a family. He doesn't want to have brothers or a mom. He wants to be alone all the time. He is 12. Obviously these are unrealistic thoughts he is having. He makes it so difficult to get along with him. He treats everyone badly and refuses to even try to change his negative behavior, instead using his diagnoses as an excuse for it. He has been to multiple different specialists, now we have one that comes to our home 3x a week and we have made no progress. In over three years. I'm tired.",NEGATIVE,0.9999681711196899
I am looking for a job in a new career field and ding self employed task work in the meantime both did not go well yesterday and created a frustrating experience,NEGATIVE,0.9998874664306641
I am frustrated at the levy failure yesterday.  As I work for the school district I'm nervous my job may go away in the budget cuts.  I'm also concerned for my two kids and how it will affect them in the next few years.,NEGATIVE,0.8350755572319031
Got to spend the evening with my family.  We were just chilling and chatting about our days (work and school),POSITIVE,0.9969384670257568
