Journals,Sentiment
Yesterday was my birthday and I spent it with my family which is the most important thing in my life. I felt loved and pampered as if I was the most important thing in their lives as well,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.7607886904761905
}"
"Yesterday was my ""PULL DAY"" in my workout routine. I was able to achieve 50 pull ups with 65 lbs hanging from my waist on my dip belt. I went up in weight from last week and felt great!","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.6862244897959183
}"
"Yesterday was a very productive day at work for me. I finished all of my work for my real-world job very quickly, and was able to also make over $100 on Mechanical Turk, which will help tremendously with getting out from under some past due bills currently weighing on me.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.825
}"
Yesterday was a very informative day with my son and daughter-in-law. My son told me he was starting a new semester at school and he would be enrolling on his day off Friday. My daughter-in-law was very happy yesterday and offered to bring me newspapers from work which she could get free from her boss. All in all a very pleasant day.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.59765625
}"
"Yesterday was a great day at work! My client was great with expressing his desire to gain my attention. I taught him yesterday how to say ""hi"" to gain attention of adults and by the end of the day, he was saying ""hi"" to every adult that passed through the clinic!","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.5869140625
}"
"Yesterday was a bad day for diverticular disease, I couldn't eat, and I was in a lot of pain. Still, I was able to function through it, and I know that if I'm patient the pain will go away eventually. I just wish there was a more permanent solution.","{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.4473805147058824
}"
Yesterday there was enough turk work for a change. It has been very slow recently. At least I have a chance of meeting my bill payments next week but I have to sit on the computer every possible second to grab possible work.,"{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.710625
}"
Yesterday my wife and I found out that our infertility treatment will be covered by insurance.,"{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.50078125
}"
Yesterday my oldest daughter had her first high school weight lifting meet of the season.  This event was the result of many of many hours of hard work.  She did very well coming in second place in her weight class.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.6617005813953488
}"
"Yesterday my children and grand children came over for a cook out. I had not seem them all together for a few weeks so it was great to get them all together. I have a son, daughter and three grandchildren, two boys and a girl.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.48842592592592593
}"
"Yesterday I worked out for a good hour or so. I'm really trying to lose weight so working out is becoming the most important part of my day. It was hard, and at times I became really frustrated. In the end I was happy I did it, it just wasn't enjoyable while I was in the process of working out.","{
    ""sentiment"": ""neutral"",
    ""sentiment_score"": -0.11366637323943662
}"
Yesterday I worked online most of the day. I discovered an assignment I had done the previous day was rejected. This assignment provided a considerable reward so I basically lost about an hour's worth of work. That was frustrating. We need the money I am making onine right now to pay our bills so I was also concerned about making enough money. However at the end of the day I hit my earnings goal so I was satisfied with my progress.,"{
    ""sentiment"": ""neutral"",
    ""sentiment_score"": -0.20570054945054944
}"
Yesterday I worked on a way for my family to see my private photos on Flickr without registering on the site. I found out that anonymous guests can see the photos but they can't comment. And the comments are the main reason for the photo-sharing! Very frustrating.,"{
    ""sentiment"": ""neutral"",
    ""sentiment_score"": -0.31332236842105265
}"
"Yesterday I went to my GP to get informed of a cat scan of my hip, which has been bothering me (I'm 73). I was happy to find out that it isn't arthritis, though there is a little in the hip, but a pinched nerve. I was given some exercises I can do to help alleviate my pain. I felt good that it isn't necessarily a degenerative thing.","{
    ""sentiment"": ""neutral"",
    ""sentiment_score"": 0.2533244680851064
}"
"Yesterday I went to exercise at the gym. I did weight lifting, mainly worked out on bench press. I felt satisfied because I was able to PR on a set.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.528293918918919
}"
"Yesterday I went hunting. I had to hike for 4 miles and I was able to stalk a large deer for quite a while. I didn't get anything, but I had a really good time and felt great when I got home.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.46079009433962265
}"
Yesterday I went for a walk with a friend. About a mile into our walk it starting pouring down rain. We were soaked before we made it back to the car.,"{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.3942307692307692
}"
"Yesterday I was sick with a stomach bug. I spent all day in bed and barely eating, and it was overall a pretty miserable day.","{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.8598958333333333
}"
Yesterday I was reminded of how loved and appreciated I am. I was reminded that the people I care about care about me as well and that I am important to them,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.7674107142857143
}"
"Yesterday I was diagnosed with cancer. I don't know how to feel, right now I just feel empty and possibly in shock. I haven't told anyone yet, but I think I will probably call my parents and sisters today to let them know. I just need time to process this alone right now.","{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.482666015625
}"
Yesterday I stopped by Subway while my clothes were in the dryer at the laundromat. I ordered a six inch tuna melt with spinach tomato jalapeno and pickles. It was one of the greatest tasting sandwiches I have had in a long time and it was healthy eating.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.5917338709677419
}"
"Yesterday I made a lot more money on Mturk then I expected, a whole $23!  These last few weeks have been pretty rough, not many HITS are out, probably because almost the holidays","{
    ""sentiment"": ""neutral"",
    ""sentiment_score"": -0.21747819767441864
}"
Yesterday I left work and met my family at Target. We had to return some baby pajamas and get different ones. I was just happy to get out of work and spend time with my family. Afterw\ard we went to eat then home and watched a movie. It was a relaxing evening.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.5283653846153846
}"
"Yesterday I had to go to the dentist and was worried about my oral health. You see, 3 months ago, when I went for my teeth cleaning, the checkup was not so good so I was worried it might be even worse, so I was anxious heading into the appoointment.","{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.5992943548387096
}"
"Yesterday I did some research about getting my calendars printed out-- what they will cost, different methods. I think this project is really going to be doable.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.47518382352941174
}"
Yesterday I completed 16 surveys. I was satisfied with work.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.76953125
}"
Yesterday despite feeling sluggish,"{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.8372395833333334
}"
"Working for slave wages and getting screwed and exploied every day, seven days a week, is driving me nuts.  I hate it.  Why can there be any decent requestors who pay a living wage?","{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.8710106382978723
}"
Working being able to use my skills and knowledge for the benefit and growth of our company.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8766447368421053
}"
"Work was very demanindg yesteday it required me to work extyra long in order to finish the project that was under way when I started the week. We as a team were on a tight deadline and in  order to finish we were really all working hard. It was amazing, interesting and so much fun I havent had htis much fun at work ever.","{
    ""sentiment"": ""neutral"",
    ""sentiment_score"": -0.1687863372093023
}"
"Work was long today. I did a lot of different projects at 2 different stores. It was frustrating some of the time, but the fact that I finished everything gave me a sense of accomplishment.","{
    ""sentiment"": ""neutral"",
    ""sentiment_score"": 0.2846798780487805
}"
Work made me feel like I had a purpose but also frustrated and annoyed because there are so many things going on at once.,"{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.4810697115384616
}"
Work is salient because doing it allows me to earn money so I can pay bills and not starve to death. I felt satisfied with the amount of work I was able to put in to my work project yesterday.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8111111111111111
}"
Work is rather salient because I spend the majority of my day there. Nothing particularly exciting or interesting really happened there but it was fairly busy as it usually is. Given that we're federal employees who are excepted from the furlough but not being paid to work we spent a lot of our day talking about the shut down and what if anything Trump is doing to attempt to alleviate it.,"{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.474702380952381
}"
"Work is probably the most important and salient thing I do. It's not very exciting and can be very frustrating, but it provides me with an income to pursue other things I care about more. However, since it was just a Wednesday, I didn't really have anything else going on.","{
    ""sentiment"": ""neutral"",
    ""sentiment_score"": 0.3311491935483871
}"
"Work is important, I like to be busy and have a purpose.  It makes me feel good to have alot to do and important responsibilities.  It boosts my self esteem and makes me feel good.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.7104166666666667
}"
Work dominated my day yesterday. There was a mountain of work so I was somewhat frustrated that many things had to be disregarded in my personal life to finish work.,"{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.7066964285714286
}"
when nothing goes right I know God is there with me. He is there to lift me up. he's always there to talk to and never judges me. I love him and always blessed for the blessing he gives,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.592391304347826
}"
"What was most salient about my day yesterday, was spending quality time with my children. Together, we raked the leaves outside in the yard and shared laughter and joy.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.7847222222222222
}"
Went to visit my mom in the hospital she was just transferred from the ICU to a regular ward and she was alert and talking which was a huge change from a few days ago,"{
    ""sentiment"": ""neutral"",
    ""sentiment_score"": 0.16796875
}"
Went grocery shopping with my mom. Got a flu shot while I was there.,"{
    ""sentiment"": ""neutral"",
    ""sentiment_score"": -0.2879774305555556
}"
we had such a good time it was nice and felt very nice he was very loving,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.9268092105263158
}"
We had friends surprise us with a visit. We haven't seen them over 2 years. We were all so excited! They are from Hawaii and it is snowing here so we got to play in the snow with them and build a snowman!,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.5353009259259259
}"
"we had a pretty big extracation that i performed well on.  i carried out my duties pretty well, and was self directed at all of it. I felt proud of myself for functioning like I've been there and done that before.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8599759615384616
}"
was able to meet up with my girlfriend after a week of not seeing her. I was very excited.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.7839673913043478
}"
Was able to eat some of my favorite food so i was pretty happy and excited and couldnt wait to eat it.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.9252232142857144
}"
Waking up rereshed and having a great conversation with my wife.  We talked all day and it never ceased to be insightful and amazing,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8613911290322581
}"
"Upon picking up my only child from school, she gave me the amazing news, she was chosen to be in Honors quiet. Dad and I are so happy and proud of her. We dont know how we are going to squeeze in Choir rehearsals with her ballet rehearsals but we will figure it out. Dad and i are taking sunday off, so we can go and celebrate her invitation. We are so busy with life, that we need to start to take and make time for each other. i find it curious that this survey came up, when my first thought this morning was, how bless i am to have my family, how quickly time is passing, and how to make time for each other.","{
    ""sentiment"": ""neutral"",
    ""sentiment_score"": 0.273171768707483
}"
"Trying to help my mother-in-law find a home, but it's kind of awkward because I feep like she wants to live with us.","{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.7261029411764706
}"
"Today, I exercised and it honestly felt amazing.  The feeling after a good workout is hard to beat.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8634510869565217
}"
Today we had my favorite food in the whole world for dinner!  Pepperoni pizza from Angelo's Pizza Parlour.  It always makes my day when we have pizza!,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.7947635135135135
}"
Today we had a snow day or shall I be more specific; we had an ice day!  There was a layer of slick ice that coated all outdoor surfaces so my children were home from school.  We induldged in the day and enjoyed eachothers company by playing games and making cookings.  We watched a chinese anime movie before dinner and snuggled on the couch.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.6157670454545454
}"
Today was my best earning day today. If I can keep earning like this I can save money for the cruise with my friends.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8419471153846154
}"
today was just a normal day. I worked all day and nothing really happened. During slack times I worked on Mturk. It felt like another day,"{
    ""sentiment"": ""neutral"",
    ""sentiment_score"": -0.2743055555555556
}"
"Today was a very busy day at work.  We had corporate visitors and had to be on our best behavior.  I also had to make a prewsentation about my section to the corporate people.  It went well, and I glad to be done with it.","{
    ""sentiment"": ""neutral"",
    ""sentiment_score"": 0.21235795454545456
}"
Today was a blessed day as I had God in my heart! It was a good day as it was a day of appreciation for everything I have in this life!,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8975694444444444
}"
Today is a memorable day. Ananya performed a hul hoop dance in her school talent show her first ever performance outside home in all of her seven years.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.6998355263157895
}"
Today I went out to drink with friends. We decided to have unlimited wings contest. Between the 4 of us i came in second. I performed better than last time coming in last. It was a great time. We drank talked and ate.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.5315393518518519
}"
Today I was very sick. It seems everybody I know has a cold and I thought I was above it but no. I had some orange juice and went back to bed. Not a good day.,"{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.49962797619047616
}"
Today I was able to make $18 on mturk. New record for a day. It took from 6AM till about 8PM. Once I got to $15 I kept going to see how much I could make but the hits dried up.,"{
    ""sentiment"": ""neutral"",
    ""sentiment_score"": 0.0827682783018868
}"
Today I spent time with a student at work who is volunteering at the hospital.  She is working on her MSW and we discussed her graduations project.,"{
    ""sentiment"": ""neutral"",
    ""sentiment_score"": 0.214599609375
}"
Today I had a good and easy day. Everything in the department was taken care of and no new issues came up.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.729375
}"
Today I feel sad at work. I feel anxious because I have too much to do. I feel so overwhelmed,"{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.8210227272727273
}"
"Today at work I had the chance to catalog a $40k book which was a prized possession of my boss. It was just about falling apart but I was able to flip through, translate some German and get it up online for sale. My boss was pleased.","{
    ""sentiment"": ""neutral"",
    ""sentiment_score"": 0.24162946428571427
}"
Time spend with my family is always better than anything,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.9109375
}"
This would be kayaking with my dog.  There is nothing more peaceful than taking the boat out on the water with my best pal and just enjoying the peace and tranquility of the water and the breeze.  It make a horrible day at work just melt away.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.47494103773584906
}"
This week has been going great. I've established good relationships with all my friends and I feel like I'm at a place where I feel loved and supported by everyone who I know. I'm hanging out with people more and it just makes me happy that a lot of people want to hang out with me to. It's always a fun time to go out and get food which is something that I do a lot.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8824728260869565
}"
"There was an incident with my spouse where he was trying to restrain our dog that recently had surgery when we were going to feed him. Unfortunately, the dog reared his head back and hit my spouse in the mouth and knocked out his dental crown. This situation surprised me and made me anxious/frustrated because my spouse was really upset and now we'd have additional expenses to fix his dental work.","{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.6300287356321839
}"
The work yesterday was different than most of days. I had some issues and the deadline was approaching. I almost missed it. Luckily I have the best co-workers that helped me out before I have asked for any help.,"{
    ""sentiment"": ""neutral"",
    ""sentiment_score"": -0.02117270611702128
}"
The salient thing i did yesterday was spending time with family. My husband was at home yesterday for two days then he will work again for 5 days. So we always make sure we spend quality time together as a family when he is at home.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.6226851851851852
}"
The night before last i.e. yesterday morning I slept for over 10 hours straight which is not normally a thing I ever do like ever. Unfortunately I felt like absolute crap as the result of having caught something most likely the flu so I did not feel great at all in fact I felt like total crap. Cough crap in my throat crap in my lungs the whole bit. I was a bit worried I was going to wake up feeling way sicker but that didn't stop the fact that I absolutely needed to crash at like 8 PM. So I did. Woke up feeling sooo much more refreshed. Still sick but not nearly as bad. 10 hours of sleep was what I needed I guess. Still sick though.,"{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.4554738562091503
}"
"The most salient thing yesterday was relationship to my family. I talked to my daughter in the morning, to my son in the afternoon, and spent all day with my wife. I had a very enjoyable wonderful day.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.7701388888888889
}"
The most salient thing I felt yesterday was loving life. I for the most part feel blessed in all that I have accomplished in life and am very grateful,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8659274193548387
}"
The most salient thing from yesterday was my 8-mile hike. I had the day off work so I decided to hit the hiking trails in my town. I spent a few hours hiking 8 miles in the Ozark Mountains. The day was warm and beautiful. Feeling the sun on my back felt good.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.4873046875
}"
"The most salient thing from yesterday was how we are a family (wife and 3 kids) but as of recent we have been very distant from each other so the household is cold and callous. Just last month our house was loud and boisterous, now its silent and uncomfortable.","{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.6514830508474576
}"
"The most salient thing about my day yesterday was recreation, or maybe I should say, the lack thereof. I was so distracted and bored yesterday, I couldn't find anything to keep myself occupied with all day long. I was antsy most of the day and it was entirely frustrating. I tried to talk to a few friends about it, maybe make some plans to do something, but they were all otherwise engaged for the day, which made it even more frustrating. I really need to calm my mind so I can focus on something, get immersed in it. That'll help the anxiety and the boredom.","{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.4166666666666667
}"
"The most noticeable and important thing in my life yesterday was the reconciliation with my ex-partner. We officially became a couple and spent a lot of time together becoming closer, and sharing our thoughts and ideas, and taking care of one another. I felt happy and hopeful that this time everything would work out for the best.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.6723484848484849
}"
The most important thing in my life is always God or my salvation. It makes me feel calm or at peace knowing no matter what life throws at me he is on the throne fighting my battles for me and I am going to be okay,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.7553066037735849
}"
THE MARKETING TEAM MET TO REVIEW AND REVISE OUR MARKETING PROGRAM FOR THE COMPANY. THE PROGRESS WE MADE WAS EXCLENT AND I AM PROUD BEING THE LEADER OF THIS TEAM.,"{
    ""sentiment"": ""neutral"",
    ""sentiment_score"": -0.15130208333333334
}"
The kids had a half day at school and went for a hang out at different friend's homes.  I picked them up after work and both friends are from affluent families - we are not and the process of entering large mansions and speaking with the other parents makes me a bit anxious.,"{
    ""sentiment"": ""neutral"",
    ""sentiment_score"": -0.3101679104477612
}"
The food was wonderful.  it was Chinese food from the local restaurant.  i had chicken teriaki french fries and sauteed brocolli in a lovely sauce.  the meat was sp juicy and moist.  the fries were to golden perfection and the sauce on the brocolli was outstanding.  i was so satisfied and sated afterward.  it made my day complete.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.7823795180722891
}"
the food I made was good and made me happy and enjoy my day,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.9324776785714286
}"
The day was great and I wish it would never end.  Life couldn't be any better.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.6484375
}"
The answers in the Bible are God speaking to me which gives me directioncomfort joyhappinesspeace goodnessgentlenessmeeknesstemperance,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.3747632575757576
}"
That small things dont matter. That you should be thankful for the person that loves you and that you love.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.7876420454545454
}"
Taking care of my family especially my kids is the most important responsibility I do. It brings me joy and happiness being able to spend time with my family.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8385416666666666
}"
Spending time with my wife after work is most precious event of the day. Making our dinner together and catching up on things with my wife during cooking a meal is precious and fun way to spend time together.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8650568181818182
}"
Spending time with my family meaning my spouse and children gives me so much joy. Being older and having young chilldren gives me an appreciation of every moment with them. It has also given me a real focus on what is important. I never want to be a disappointment to them but instead be an example.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.7519230769230769
}"
"Spending time with my family makes me happy, I am so grateful for them. I feel lucky to have been so blessed.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.9092548076923076
}"
spending time with my family is what I do everyday. its something that makes me really happy,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.921875
}"
Spending time with my daughter and my husband was the most salient thing I did yesterday.  I was out of town for the weekend and was very excited to have some time to catch up with them and just hang out and relax together.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.84765625
}"
"So I helped my Aunt move some things out of my friends house on quite short notice, and the overall sense I had after the task was done was that I felt very reliable. I was pleased that I could be so useful and reliable as a source of free labor, and that I was willing to help a stranger with no questions asked.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.7982142857142858
}"
Sleep is an important part of my day because it is important to my health well being and my daily funtioning. I was very tired yesterday and I fell asleep earlier than I had planned. I was planning to wake up to watch something but I fell back asleep. I was awoken again a little while later with serious pain in my one eye. At times my eyes can be sensitive when I have a cold settle in one or both of them. Two more times I was woken up by the eye pain. It was bad and I was super tired. So I got to go back to sleep for a little while longer.,"{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.37006578947368424
}"
"seeing them happy makes me happy, the do everything in their power to make me happy also and we live as one, shared most of the things we have together, always there for ourselvea","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8497023809523809
}"
One of my friends came back from Spain he was getting his masters degree and a bunch of friends gathered to meet him. It was a really cool experience because I got to catch up with many of my friends.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.46941489361702127
}"
"Once again I was reminded of how awesome my wife is. She surprised me after work with a special whiskey tasting for Macallan scotch. It lasted two hours, with live music and of course lots of great whiskey.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.6775
}"
"My work yesterday involved working around the yard, mowing, trimming branches and bushes, sweeping the walk and patio and finally cleaning and refillling all of the bird feeders.  It is very enjoyable work for me.  I love being outdoors.  It's also exercise as I built up a sweat once or twice.  When I was through, it looked and felt like a good accomplishment.  The yard looks great and our curb appeal is really good.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.515625
}"
My work is what keeps me going. It makes me useful  providing a platform for me to offer my services.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8091032608695652
}"
My work is something that I have to do in order to enjoy life and allow other things to prosper. I feel good about the outcome.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.6830357142857143
}"
"My work is salient on most days. I feel happy, proud, and satisfied. My job is very important to me, and I feel very positive about my job.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8803571428571428
}"
my work is important and noticeable but extremely boring.   I would like a different job but it does pay the bills and gives me less headaches than other jobs.,"{
    ""sentiment"": ""neutral"",
    ""sentiment_score"": -0.07333096590909091
}"
My wife is the most important thing in my life.  When I get home it is her smiling face that makes me glad I am alive.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8141741071428571
}"
My wife has 4th stage cancer and is going through chemo every 3 weeks.  In the 2nd week after the last chemo treatment she is her normal self and able  to cook.  So yesterday for dinner we had a good cooked meal that was delicious as she knows how to cook and it also was a sign of some normalcy coming back for her in her life.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.3707561728395062
}"
My wife and I took our 2 year old son to the park. Him and I went on the swings together and went down the slide. It sounds really simple and may be boring to some but he was so exited to be there. Seeing his little face light up like that makes me feel so happy.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.553030303030303
}"
My wife and I made a pot of chili with venison spicy sausage. It was the perfect meal for a crisp evening. Some of the best chili I ever had.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8293918918918919
}"
"My spouse woke me up with a surprise breakfast in bed since we were taking the morning off and then we spent time cuddling in bed together. Our ""date night"" was seeing a horror movie together in the early afternoon and we spent time holding hands, watching a movie, and then we went out to a late lunch. I felt so lucky and so thrilled to be able to spend the morning with the most amazing person in my life. My best friend and spouse makes me feel loved and I spent the day feeling so content and giddy, just like when we were in high school. I had an amazing morning filled with love and laughter!","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.6003649635036497
}"
My son's girlfriend stayed home from work today. She was acting odd all day. I could tell something was wrong but did not know what.  My husband came home from work later and he was focused on his friends at work. He didn't want to talk about the kids or anything.  I felt alone and sad.  Basically I felt invisible.,"{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.5325168918918919
}"
My son was sent home from school yesterday throwing up. It made me anxious and worried because he's nonverbal and can't tell me what's going on.,"{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.8053209459459459
}"
My son received early admission to the college of his choice today! In addition he received a scholarship!,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8174715909090909
}"
My sister's 29th birthday also 8 yeas sober for her.,"{
    ""sentiment"": ""neutral"",
    ""sentiment_score"": 0.140625
}"
My partner surprised me today. She stayed home from work and we spent the whole day together. It was so wonderful and special.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.6533564814814815
}"
My parents both helped me out big time with the house that myself and my wife just bought.  they have watched our son and helped wit the work quite a bit.  I am very thankful for them.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.7924107142857143
}"
My parents are planning to sell their house so yesterday they were talking to their realtor. I was helping out my parents cleaning the house to make sure that it looks its best.,"{
    ""sentiment"": ""neutral"",
    ""sentiment_score"": 0.07449776785714286
}"
My oldest daughter told me she was moving closer to where i live. It made me happy to know I'd get to see her more often now.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.79541015625
}"
My new exercise routine is a new dog! We walk literally miles and its great! Right now walking and house training her is the most important part of my day!,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.7830882352941176
}"
